workshopId,name
workshop::international workshop on graph data management experiences and systems,International Workshop on Graph Data Management Experiences and Systems
workshop::alberto mendelzon workshop on foundations of data management,Alberto Mendelzon Workshop on Foundations of Data Management
workshop::usenix workshop on hot topics in cloud computing,USENIX Workshop on Hot Topics in Cloud Computing
workshop::proceedings of the 2nd clinical natural language processing workshop,Proceedings of the 2nd Clinical Natural Language Processing Workshop
workshop::machine learning challenges workshop,Machine Learning Challenges Workshop
workshop::international workshop on semantic evaluation,International Workshop on Semantic Evaluation
workshop::2019 fifth workshop on energy efficient machine learning and cognitive computing - neurips edition (emc2-nips),2019 Fifth Workshop on Energy Efficient Machine Learning and Cognitive Computing - NeurIPS Edition (EMC2-NIPS)
workshop::spoken language technology workshop,Spoken Language Technology Workshop
workshop::2014 ieee conference on computer vision and pattern recognition workshops,2014 IEEE Conference on Computer Vision and Pattern Recognition Workshops
workshop::2011 ieee workshop on automatic speech recognition & understanding,2011 IEEE Workshop on Automatic Speech Recognition & Understanding
workshop::workshop on representation learning for nlp,Workshop on Representation Learning for NLP
workshop::european association for machine translation conferences/workshops,European Association for Machine Translation Conferences/Workshops
